Census_Tract,Num_lived,Num_worked,centroid_lat,centroid_lon,key_location,,,,,
5020,592,39,42.39329401,-82.94696596,,,,,,
5258,326,172,42.33321937,-83.12842902,,,,,,
5071,637,43,42.42774943,-83.07635743,,,,,,
5064,257,436,42.4225996,-83.05231626,,,,,,
5128,625,414,42.37866489,-82.95314222,,,,,,
5387,1152,587,42.42403335,-83.16556433,,,,,,
5338,516,49,42.35905221,-83.13265434,,,,,,
5081,394,282,42.44089422,-83.10148264,,,,,,
5364,634,77,42.398957,-83.14981,,,,,,
5264,366,398,42.34053582,-83.13098307,,,,,,
5365,606,347,42.38827256,-83.14422577,,,,,,
5033,910,37,42.43831572,-82.99504461,,,,,,
5063,523,1413,42.42658567,-83.03131805,,,,,,
5074,799,94,42.43621438,-83.08563651,,,,,,
5015,1169,109,42.41834584,-82.92649277,,,,,,
5070,781,68,42.42969476,-83.0621938,,,,,,
5019,754,5,42.39526041,-82.94010021,,,,,,
5341,529,110,42.37506018,-83.1423229,,,,,,
5065,557,67,42.42987603,-83.04597968,,,,,,
5245,83,1249,42.28678576,-83.15197738,,,,,,
5362,621,202,42.41270636,-83.16411433,,,,,,
5263,634,93,42.33907968,-83.13847704,,,,,,
5392,1448,424,42.44188094,-83.18520558,,,,,,
5265,469,104,42.34817715,-83.14043286,,,,,,
5069,994,37,42.43681421,-83.06716568,,,,,,
5393,1263,138,42.43484635,-83.18090859,,,,,,
5348,613,523,42.36136277,-83.14460644,,,,,,
5260,713,1192,42.32595073,-83.14300065,,,,,,
5394,1122,517,42.42581322,-83.17594274,,,,,,
5018,1347,129,42.39833918,-82.93167243,,,,,,
5062,528,421,42.43747976,-83.03169101,,,,,,
5066,818,151,42.43704733,-83.04852002,,,,,,
5368,488,90,42.40649038,-83.16588509,,,,,,
5262,631,55,42.33730129,-83.14533503,,,,,,
5016,573,4476,42.41294379,-82.92071298,,,,,,
5366,739,324,42.39022282,-83.15866859,,,,,,
5342,832,13,42.38009717,-83.1559887,,,,,,
5367,338,32,42.39875815,-83.16436044,,,,,,
5017,608,576,42.4042425,-82.92129346,,,,,,
5261,633,284,42.33351129,-83.15209256,,,,,,
5347,846,59,42.35912656,-83.15385696,,,,,,
5344,414,47,42.36932581,-83.15885924,,,,,,
5369,915,220,42.41293079,-83.17764776,,,,,,
5343,347,66,42.37493036,-83.16277683,,,,,,
5370,822,180,42.40574318,-83.17712906,,,,,,
5357,379,35,42.36242968,-83.16294857,,,,,,
5397,670,95,42.43469118,-83.19568857,,,,,,
5396,1028,86,42.42677822,-83.19127082,,,,,,
5395,902,2073,42.41981956,-83.18743109,,,,,,
5371,556,279,42.39796046,-83.17648707,,,,,,
5372,185,268,42.38830375,-83.17586726,,,,,,
5356,1152,68,42.35509896,-83.16756879,,,,,,
5785,2016,746,42.2878813,-83.17886506,,,,,,
5352,612,126,42.37847952,-83.17540191,,,,,,
5507,2468,1826,42.40614871,-82.90459868,,,,,,
5351,448,128,42.36947299,-83.17535243,,,,,,
5350,717,160,42.36039759,-83.17622418,,,,,,
5401,994,95,42.44091899,-83.21017882,,,,,,
5375,815,17,42.40535074,-83.19177558,,,,,,
5740,1770,1781,42.32560568,-83.17720764,,,,,,
5378,429,197,42.39189333,-83.18768935,,,,,,
5377,773,26,42.39809704,-83.19146469,,,,,,
5402,959,49,42.43383399,-83.2097037,,,,,,
5508,803,219,42.41435471,-82.89189536,,,,,,
5403,1071,84,42.42660885,-83.20940147,,,,,,
5373,619,54,42.38500946,-83.19188265,,,,,,
5353,1060,766,42.37290773,-83.18996464,,,,,,
5404,801,128,42.41936568,-83.20914932,,,,,,
5358,1135,237,42.3582994,-83.18959689,,,,,,
5739,1718,677,42.33860963,-83.18912415,,,,,,
5421,1343,211,42.41214942,-83.20892305,,,,,,
5742,1325,929,42.30509019,-83.19644599,,,,,,
5423,662,127,42.39840773,-83.20541819,,,,,,
5422,1099,197,42.40492361,-83.2086673,,,,,,
5424,825,28,42.39089031,-83.20361749,,,,,,
5408,732,93,42.44057686,-83.22946523,,,,,,
5426,927,229,42.38296865,-83.2077387,,,,,,
5451,343,90,42.37572426,-83.2071726,,,,,,
5407,1030,232,42.43341349,-83.22918361,,,,,,
5405,1059,81,42.4226995,-83.22421336,,,,,,
5452,738,26,42.36882182,-83.20701275,,,,,,
5425,795,113,42.39284075,-83.21332115,,,,,,
5472,1029,697,42.3579541,-83.2067513,,,,,,
5455,1072,326,42.34713564,-83.20630894,,,,,,
5456,1324,187,42.33989952,-83.20614285,,,,,,
5756,801,599,42.29168905,-83.2138745,,,,,,
5430,690,153,42.40681847,-83.22571211,,,,,,
5431,833,42,42.41266065,-83.22834041,,,,,,
5406,1076,103,42.42247555,-83.23399506,,,,,,
5755,1728,277,42.28504311,-83.22314666,,,,,,
5429,1208,630,42.39885122,-83.22614454,,,,,,
5433,1142,1879,42.38539688,-83.22586923,,,,,,
5409,1039,271,42.440112,-83.24896988,,,,,,
5471,1365,390,42.371725,-83.22657754,,,,,,
5457,812,211,42.33282481,-83.22425097,,,,,,
5467,812,62,42.36130623,-83.22624596,,,,,,
5460,852,60,42.35409638,-83.22614398,,,,,,
5411,888,35,42.42225613,-83.24395808,,,,,,
5459,1034,331,42.34687016,-83.22583712,,,,,,
5410,1064,303,42.43295103,-83.24872828,,,,,,
5458,1367,154,42.33960779,-83.22694215,,,,,,
5434,1109,21,42.40156812,-83.2374736,,,,,,
5437,583,28,42.38938615,-83.23865211,,,,,,
5432,927,334,42.41129945,-83.24759266,,,,,,
5754,1505,539,42.28701445,-83.24154438,Henry Ford Museum of American Innovation,,,,,
5412,680,462,42.42201228,-83.25370315,,,,,,
5470,963,328,42.37180094,-83.24125141,,,,,,
5435,392,17,42.40404274,-83.24987559,,,,,,
5466,606,8,42.3610566,-83.24154505,,,,,,
5415,1102,215,42.43621917,-83.26335134,,,,,,
5439,269,458,42.38188178,-83.2494226,,,,,,
5448,537,60,42.39369786,-83.25226578,,,,,,
5715,1852,932,42.3345139,-83.24846054,,,,,,
5442,550,36,42.40736898,-83.26196996,,,,,,
5417,761,96,42.43613351,-83.27317589,,,,,,
5414,860,249,42.4218795,-83.26765087,,,,,,
5753,1708,534,42.28646558,-83.26108232,,,,,,
5463,678,62,42.36902531,-83.26381053,,,,,,
5441,742,9,42.39293481,-83.2685039,,,,,,
5418,818,66,42.43562434,-83.282863,,,,,,
5440,836,93,42.38239543,-83.26718737,,,,,,
5443,716,299,42.40869039,-83.27497449,,,,,,
5413,911,400,42.42157897,-83.28213954,,,,,,
5554,1249,335,42.36513254,-83.27052803,,,,,,
5752,1890,972,42.28893103,-83.27797056,Airport,,,,,
5544,1295,237,42.42128838,-83.29188526,,,,,,
5545,1098,218,42.40574632,-83.28772895,,,,,,
5548,1633,684,42.39253594,-83.28552857,,,,,,
5553,1507,1192,42.3710292,-83.28512083,,,,,,
5555,1467,458,42.36021959,-83.28475271,,,,,,
5710,801,99,42.2845919,-83.29490072,,,,,,
5549,1501,1065,42.38148516,-83.29477914,,,,,,
5701,1513,461,42.30267446,-83.29573887,,,,,,
5543,2061,268,42.42080599,-83.30632798,,,,,,
5546,1634,272,42.40635707,-83.30574364,,,,,,
